restaurantname,pricerange,area,food,phone,addr,postcode,food_quality,crowdedness,stay_length
stazione restaurant and coffee bar,expensive,centre,korean,01223 352607,market hill city centre,,good food,not busy,long stay
cote,expensive,centre,french,01223 311053,bridge street city centre,c.b 2,good food,busy,long stay
cotto,moderate,centre,british,01223 302010,183 east road city centre,c.b 1,bad food,busy,long stay
bangkok city,expensive,centre,thai,01223 354382,24 green street city centre,c.b 2,mediocre food,busy,short stay
frankie and bennys,expensive,south,italian,01223 412430,cambridge leisure park clifton way cherry hinton,c.b 1,mediocre food,busy,short stay
the cow pizza kitchen and bar,moderate,centre,moroccan,01223 308871,corn exchange street,c.b 2,bad food,not busy,long stay
eraina,expensive,centre,european,01223 368786,free school lane city centre,c.b 2,bad food,not busy,short stay
curry garden,expensive,centre,asian oriental,01223 302330,106 regent street city centre,,good food,busy,long stay
mahal of cambridge,cheap,centre,indian,01223 360409,3 - 5 millers yard mill lane,,good food,not busy,short stay
golden wok,moderate,north,asian oriental,01223 350688,191 histon road chesterton,c.b 4,good food,not busy,long stay
meghna,moderate,north,indian,01223 727410,205 victoria road chesterton,c.b 4,good food,not busy,long stay
the nirala,moderate,north,indian,01223 360966,7 milton road chesterton,c.b 4,bad food,busy,long stay
michaelhouse cafe,expensive,centre,european,01223 309147,st. michael's church trinity street city centre,c.b 2,mediocre food,busy,short stay
efes restaurant,moderate,centre,swiss,01223 500005,king street city centre,c.b 1,mediocre food,not busy,short stay
chiquito restaurant bar,expensive,south,european,01223 400170,2g cambridge leisure park cherry hinton road cherry hinton,c.b 1,good food,busy,long stay
caffe uno,expensive,centre,italian,01223 448620,32 bridge street city centre,,mediocre food,busy,long stay
j restaurant,cheap,centre,fusion,01223 307581,86 regent street city centre,c.b 2,good food,busy,short stay
la margherita,cheap,south,italian,01223 315232,15 magdalene street city centre,c.b 3,bad food,not busy,short stay
cocum,expensive,east,gastropub,01223 366668,71 castle street city centre,c.b 3,bad food,busy,short stay
city stop restaurant,expensive,north,tuscan,01223 363270,cambridge city football club milton road chesterton,,mediocre food,not busy,short stay
sala thong,expensive,west,thai,01223 323178,35 newnham road newnham,c.b 3,mediocre food,busy,short stay
don pasquale pizzeria,expensive,south,european,01223 350106,12 market hill city centre,,bad food,busy,long stay
little seoul,expensive,centre,korean,01223 308681,108 regent street city centre,c.b 2,bad food,busy,long stay
rice house,cheap,south,chinese,01223 367755,88 mill road city centre,,bad food,busy,long stay
the river bar steakhouse and grill,cheap,centre,modern european,01223 307030,quayside off bridge street,c.b 5,bad food,not busy,long stay
nandos city centre,cheap,centre,portuguese,01223 327908,33-34 saint andrews street,c.b 2,mediocre food,not busy,long stay
prezzo,moderate,west,italian,01799 521260,21 - 24 northampton road,c.b 3,good food,not busy,short stay
galleria,moderate,centre,european,01223 362054,33 bridge street,c.b 2,bad food,busy,long stay
bloomsbury restaurant,moderate,north,international,0871 942 9180,crowne plaza hotel 20 downing street,c.b 2,good food,not busy,long stay
the good luck chinese food takeaway,expensive,south,chinese,01223 244149,82 cherry hinton road cherry hinton,c.b 1,bad food,busy,long stay
the varsity restaurant,moderate,centre,international,01223 356060,35 saint andrews street city centre,c.b 2,mediocre food,busy,long stay
de luca cucina and bar,moderate,centre,modern european,01223 356666,83 regent street,c.b 2,good food,not busy,long stay
da vinci pizzeria,cheap,north,traditional,01223 351707,20 milton road chesterton,c.b 4,good food,not busy,short stay
shiraz restaurant,expensive,centre,mediterranean,01223 307581,84 regent street city centre,c.b 2,bad food,busy,long stay
the lucky star,cheap,south,chinese,01223 244277,cambridge leisure park clifton way cherry hinton,c.b 1,mediocre food,not busy,long stay
royal spice,cheap,north,indian,01733 553355,victoria avenue chesterton,c.b 4,mediocre food,not busy,short stay
ask,cheap,centre,seafood,01223 364917,12 bridge street city centre,c.b 2,mediocre food,not busy,short stay
taj tandoori,expensive,south,portuguese,01223 412299,64 cherry hinton road cherry hinton,c.b 1,good food,busy,short stay
tandoori palace,moderate,north,indian,01223 506055,68 histon road chesterton,c.b 4,good food,not busy,long stay
yippee noodle bar,moderate,centre,asian oriental,01223 518111,40428 king street city centre,c.b 1,good food,not busy,short stay
travellers rest,expensive,west,british,01223 276182,huntingdon road city centre,,good food,busy,long stay
maharajah tandoori restaurant,expensive,east,indian,01223 358399,41518 castle street city centre,c.b 3,bad food,busy,short stay
shanghai family restaurant,moderate,east,chinese,01223 301761,39 burleigh street city centre,,bad food,not busy,short stay
curry prince,expensive,east,indian,01223 566388,451 newmarket road fen ditton,c.b 5,bad food,busy,long stay
the gandhi,cheap,centre,indian,01223 353942,72 regent street city centre,,bad food,busy,short stay
kymmoy,expensive,centre,asian oriental,01223 311911,52 mill road city centre,c.b 1,good food,not busy,short stay
golden house,cheap,centre,polynesian,01842 753771,12 lensfield road city centre,,bad food,busy,long stay
bedouin,expensive,centre,african,01223 367660,100 mill road city centre,c.b 1,bad food,not busy,short stay
pipasha restaurant,expensive,east,indian,01223 577786,newmarket road fen ditton,c.b 5,good food,not busy,short stay
charlie chan,cheap,centre,chinese,01223 361763,regent street city centre,c.b 2,bad food,not busy,long stay
lan hong house,moderate,centre,thai,01223 350420,12 norfolk street city centre,,bad food,not busy,short stay
la tasca,moderate,centre,spanish,01223 464630,14 -16 bridge street,c.b 2,mediocre food,busy,short stay
backstreet bistro,expensive,south,gastropub,01223 306306,2 sturton street city centre,c.b 1,mediocre food,busy,short stay
la raza,cheap,centre,spanish,01223 464550,4 - 6 rose crescent,c.b 2,bad food,busy,long stay
the slug and lettuce,expensive,east,gastropub,dontcare,34 - 35 green street,c.b 2,good food,not busy,long stay
restaurant one seven,moderate,north,british,01223 337766,de vere university arms regent street city centre,,mediocre food,busy,short stay
fitzbillies restaurant,expensive,centre,british,01223 352500,51 trumpington street city centre,,bad food,busy,long stay
anatolia,moderate,centre,turkish,01223 362372,30 bridge street city centre,c.b 2,good food,not busy,short stay
clowns cafe,moderate,centre,bistro,01223 355711,,c.b 1,good food,not busy,long stay
kohinoor,cheap,west,indian,01223 323639,74 mill road city centre,,mediocre food,not busy,long stay
the cambridge chop house,cheap,centre,british,01223 359506,1 kings parade,,good food,busy,long stay
gourmet burger kitchen,expensive,centre,north american,01223 312598,regent street city centre,c.b 2,mediocre food,busy,long stay
la mimosa,expensive,centre,mediterranean,01223 362525,thompsons lane fen ditton,c.b 5,mediocre food,busy,long stay
meze bar restaurant,expensive,centre,turkish,,196 mill road city centre,c.b 1,bad food,not busy,short stay
the golden curry,expensive,south,australasian,01223 329432,,,good food,not busy,short stay
curry queen,moderate,,indian,,106 mill road city centre,c.b 1,bad food,busy,long stay
hakka,cheap,north,persian,01223 568988,milton road chesterton,c.b 4,mediocre food,busy,short stay
the oak bistro,moderate,centre,british,01223 323361,6 lensfield road,,mediocre food,busy,short stay
riverside brasserie,moderate,centre,gastropub,01223 259988,doubletree by hilton cambridge granta place mill lane,,bad food,busy,long stay
the copper kettle,moderate,east,british,01223 365068,4 kings parade city centre,c.b 2,good food,not busy,long stay
zizzi cambridge,expensive,south,italian,01223 365599,47-53 regent street,,mediocre food,busy,long stay
saffron brasserie,expensive,centre,jamaican,,,,mediocre food,not busy,long stay
india house,expensive,west,indian,01223 461661,31 newnham road newnham,,bad food,not busy,long stay
ali baba,moderate,centre,lebanese,01462 432565,59 hills road city centre,c.b 2,good food,not busy,short stay
rice boat,expensive,north,indian,01223 302800,37 newnham road newnham,,mediocre food,not busy,long stay
midsummer house restaurant,expensive,centre,british,01223 369299,midsummer common,,good food,busy,long stay
hotel du vin and bistro,moderate,centre,european,01223 227330,15 - 19 trumpington street,c.b 2,mediocre food,busy,short stay
darrys cookhouse and wine shop,expensive,south,modern european,01223 505015,40270 king street city centre,c.b 1,mediocre food,not busy,short stay
pizza express,cheap,centre,spanish,01223 324033,,c.b 2,mediocre food,busy,long stay
jinling noodle bar,moderate,centre,cuban,01223 566188,11 peas hill city centre,c.b 2,good food,busy,long stay
graffiti,moderate,north,indian,01223 277977,hotel felix whitehouse lane huntingdon road,c.b 3,good food,not busy,short stay
wagamama,expensive,centre,japanese,01223 462354,36 saint andrews street,c.b 2,mediocre food,not busy,short stay
pizza hut city centre,cheap,centre,italian,01223 323737,regent street city centre,,bad food,busy,short stay
curry king,expensive,centre,seafood,01223 324351,5 jordans yard bridge street city centre,,mediocre food,busy,short stay
panahar,expensive,centre,mediterranean,,,,mediocre food,busy,short stay
ugly duckling,expensive,centre,catalan,,12 st. johns street city centre,,mediocre food,busy,long stay
pizza express fen ditton,moderate,centre,european,,jesus lane fen ditton,,bad food,busy,short stay
sesame restaurant and bar,moderate,,turkish,,,,mediocre food,not busy,long stay
hk fusion,expensive,centre,thai,,21 burleigh street city centre,c.b 1,bad food,not busy,long stay
