partecipant,session,type,understood,stuck,count
11,b987526d38b0b781c2,BL,strongly agree,disagree,5
11,b987526d38b0b781c2,BL,neutral,disagree,5
11,b987526d38b0b781c2,BL,agree,disagree,3
11,b987526d38b0b781c2,BL,strongly agree,disagree,2
11,b987526d38b0b781c2,BL,agree,disagree,3
12,c70a72a01775471f9d,ML,disagree,neutral,5
12,c70a72a01775471f9d,ML,neutral,disagree,4
12,c70a72a01775471f9d,ML,neutral,disagree,5
12,c70a72a01775471f9d,ML,strongly agree,disagree,4
12,c70a72a01775471f9d,ML,strongly agree,disagree,5
12,c70a72a01775471f9d,BL,strongly agree,disagree,3
12,c70a72a01775471f9d,BL,neutral,disagree,5
12,c70a72a01775471f9d,BL,agree,neutral,5
12,c70a72a01775471f9d,BL,strongly agree,disagree,3
12,c70a72a01775471f9d,BL,agree,disagree,3
13,b4159f943d970a1b90,ML,neutral,disagree,6
13,b4159f943d970a1b90,ML,neutral,disagree,3
13,b4159f943d970a1b90,ML,neutral,disagree,6
13,b4159f943d970a1b90,ML,strongly agree,disagree,4
13,b4159f943d970a1b90,ML,strongly agree,disagree,2
13,b4159f943d970a1b90,BL,agree,disagree,2
13,b4159f943d970a1b90,BL,agree,neutral,5
13,b4159f943d970a1b90,BL,disagree,neutral,2
13,b4159f943d970a1b90,BL,agree,disagree,4
13,b4159f943d970a1b90,BL,strongly agree,disagree,4
14,1e29112946aef12a81,ML,neutral,neutral,8
14,1e29112946aef12a81,ML,neutral,disagree,6
14,1e29112946aef12a81,ML,disagree,disagree,7
14,1e29112946aef12a81,ML,agree,disagree,2
14,1e29112946aef12a81,ML,agree,disagree,4
14,1e29112946aef12a81,BL,strongly agree,disagree,4
14,1e29112946aef12a81,BL,neutral,disagree,2
14,1e29112946aef12a81,BL,agree,disagree,6
14,1e29112946aef12a81,BL,agree,disagree,2
14,1e29112946aef12a81,BL,strongly agree,disagree,4
15,a1ce756bdc2562fa79,ML,agree,disagree,3
15,a1ce756bdc2562fa79,ML,agree,disagree,6
15,a1ce756bdc2562fa79,ML,neutral,disagree,4
15,a1ce756bdc2562fa79,ML,strongly agree,disagree,4
15,a1ce756bdc2562fa79,ML,strongly agree,disagree,5
15,a1ce756bdc2562fa79,BL,strongly agree,disagree,5
15,a1ce756bdc2562fa79,BL,agree,disagree,5
15,a1ce756bdc2562fa79,BL,neutral,neutral,6
15,a1ce756bdc2562fa79,BL,strongly agree,disagree,3
15,a1ce756bdc2562fa79,BL,strongly agree,disagree,4
16,68c163563b9d402088,ML,agree,disagree,4
16,68c163563b9d402088,ML,neutral,disagree,2
16,68c163563b9d402088,ML,neutral,disagree,4
16,68c163563b9d402088,ML,strongly agree,disagree,3
16,68c163563b9d402088,ML,agree,disagree,5
16,68c163563b9d402088,BL,strongly agree,disagree,2
16,68c163563b9d402088,BL,agree,disagree,4
16,68c163563b9d402088,BL,neutral,neutral,3
16,68c163563b9d402088,BL,agree,disagree,3
16,68c163563b9d402088,BL,neutral,disagree,3
17,75307ad552f7ae73e2,ML,neutral,neutral,9
17,75307ad552f7ae73e2,ML,agree,neutral,6
17,75307ad552f7ae73e2,ML,agree,disagree,5
17,75307ad552f7ae73e2,ML,strongly agree,disagree,3
17,75307ad552f7ae73e2,ML,agree,disagree,4
17,75307ad552f7ae73e2,BL,agree,disagree,4
17,75307ad552f7ae73e2,BL,neutral,neutral,6
17,75307ad552f7ae73e2,BL,agree,neutral,3
17,75307ad552f7ae73e2,BL,agree,disagree,2
17,75307ad552f7ae73e2,BL,agree,disagree,3
18,0e1bde78c28850b884,ML,neutral,disagree,8
18,0e1bde78c28850b884,ML,agree,disagree,4
18,0e1bde78c28850b884,ML,neutral,disagree,5
18,0e1bde78c28850b884,ML,strongly agree,disagree,2
18,0e1bde78c28850b884,ML,agree,disagree,3
18,0e1bde78c28850b884,BL,agree,disagree,6
18,0e1bde78c28850b884,BL,agree,disagree,5
18,0e1bde78c28850b884,BL,agree,neutral,4
18,0e1bde78c28850b884,BL,strongly agree,disagree,2
18,0e1bde78c28850b884,BL,strongly agree,disagree,4
19,56b98219e42c9b0f68,ML,disagree,neutral,7
19,56b98219e42c9b0f68,ML,neutral,disagree,6
19,56b98219e42c9b0f68,ML,disagree,disagree,4
19,56b98219e42c9b0f68,ML,strongly agree,disagree,3
19,56b98219e42c9b0f68,ML,agree,disagree,3
19,56b98219e42c9b0f68,BL,strongly agree,disagree,4
19,56b98219e42c9b0f68,BL,agree,disagree,4
19,56b98219e42c9b0f68,BL,agree,disagree,4
19,56b98219e42c9b0f68,BL,strongly agree,disagree,4
19,56b98219e42c9b0f68,BL,strongly agree,disagree,3
20,aee58379db579085fb,ML,neutral,disagree,3
20,aee58379db579085fb,ML,neutral,disagree,6
20,aee58379db579085fb,ML,neutral,disagree,3
20,aee58379db579085fb,ML,strongly agree,disagree,3
20,aee58379db579085fb,ML,agree,disagree,2
20,aee58379db579085fb,BL,strongly agree,disagree,5
20,aee58379db579085fb,BL,strongly agree,neutral,3
20,aee58379db579085fb,BL,disagree,neutral,4
20,aee58379db579085fb,BL,strongly agree,disagree,3
20,aee58379db579085fb,BL,strongly agree,disagree,4
